ID,ninf,Tg,m,K,C,cost,opt,rmse,num_points,Na2O,SiO2,K2O,Li2O,Al2O3,B2O3,ZnO,BaO,MgO,P2O5,La2O3,CaO,PbO,Sb2O3,ZrO2,TiO2,CdO,Ta2O5,Y2O3,HfO2,Nb2O5,WO3,As2O3,Bi2O3,TeO2,Tl2O,Ga2O3,GeO2,SrO,FeO,MoO3,CuO,BeO,Rb2O,Cs2O,MnO,CoO,NiO,Fe2O3
000,-7.541588993278416,764.2685726213498,18.951315712096264,15393.032143916313,-23.085498227435668,1.7091653093777435,2.224757013793039e-06,0.32994321827358497,35,0.16,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,-1.9953207151068275,746.6918980726516,30.972039812242464,3106.7966494336856,905.7583505037727,1.7979176616095784,1.0647484873643753e-07,0.20503843772847608,94,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,-2.8381482066099064,729.4449354415366,29.671371160968068,3983.1062562864236,729.2028095198392,4.201001883820821,7.083573754656346e-06,0.33362671764729757,85,0.24,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,-1.415155780665828,709.2426583797632,37.59563126311703,1568.8660444817986,1278.3917676734716,1.056691296165004,5.7915434237938105e-08,0.22137259053877942,45,0.34,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004,-1.9409557765937353,692.2364620124849,37.07199152908667,1836.3663483755647,1148.5687644798147,0.24006547364039288,3.681547360023796e-08,0.1446437001638852,24,0.39,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005,-1.2412393154184267,735.6197649368683,35.706185322064684,1785.5113630024389,1248.0446812471453,0.1676395598163496,3.697568904954384e-08,0.11274159594676716,27,0.23,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006,-1.8480278026780423,728.4296094323056,34.268424077861354,2308.670277029977,1074.1472717369961,0.36531824436074856,4.027402848716388e-08,0.19712691058857842,20,0.28,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,-1.1933946163847797,713.17416357522,38.20209474130645,1413.5999912851923,1351.855175433369,4.671178319150969,6.397923733025834e-07,0.27147293824892815,136,0.33,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008,-2.169178690903984,755.0258378762334,28.87353576994016,3789.7315384664034,783.5436171863466,0.19900745757702265,5.006150963215994e-08,0.1419910873674631,20,0.17,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009,-1.5432658728647368,709.0351635963306,33.10272605291064,2265.553120714993,1024.0030121834461,0.17354564126769256,3.192510513241875e-08,0.09859039196434692,37,0.26,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010,-0.6146720505291873,710.5972098941595,40.44728163684086,986.929171311873,1567.838992316636,0.678011007391093,3.431388625629861e-06,0.22255385397249447,28,0.32,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,-1.4661625730911632,709.0733871565036,38.16548734168223,1525.324051090603,1300.5660505792582,0.6414887199677113,1.5008377315939292e-07,0.1867322716736207,38,0.35,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012,-1.1027624730079577,699.2980760637972,41.32392634766066,1063.2303361508077,1506.1713621444646,0.28605854109691164,1.806086299717402e-07,0.233765856486601,11,0.37,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,-2.593019803732632,666.9493428159898,34.78984997138877,2438.7751258005273,923.0620384575211,0.20038500097065448,3.5928955421926645e-08,0.1670096204857998,15,0.42,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,-2.815288581551053,801.5002194842576,28.272423071677636,4787.757295797774,728.0247150161434,1.6909950138186,1.721945874969379e-07,0.34161308954569375,33,0.15,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,-2.215069349783839,728.4580441071074,31.793076336995263,3006.8765275413557,900.7933956649896,2.43223905503398,1.4224195823975272e-07,0.2476897690639325,84,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,-1.3018564740237877,726.54282179815,37.572505878210954,1558.6804285918915,1325.6545159261955,1.170643128570648,1.5181856205526145e-07,0.2013437965088716,60,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017,-1.9189364732008904,685.9800944879005,36.901926927571715,1831.5095614275979,1132.692429041469,1.5658433428172818,1.6254477361830888e-07,0.2179753111089432,69,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018,-2.1947083801748493,682.6054745762312,47.380204582317006,935.3383347113826,1595.848310328721,0.3082555359980532,1.2486186186085133e-06,0.1659926229086801,23,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
